# Simulated data for batch processing on HW #11
# timestamp: 2020-04-30 12:14:32
# HVC
# -----------------

"var_x","var_y"
"Smoker",122.506011352527
"Smoker",137.527934827451
"Smoker",121.237176679751
"Smoker",172.653451042589
"Smoker",124.387847784925
"Smoker",176.030677173569
"Smoker",140.59751389726
"Smoker",147.907611806506
"Smoker",132.12103050501
"Smoker",120.575904298768
"Smoker",110.771500178276
"Smoker",103.694839975494
"Smoker",116.532963804306
"Non-Smoker",152.005797574469
"Non-Smoker",120.907423697325
"Non-Smoker",123.35876989655
"Non-Smoker",89.370732411954
"Non-Smoker",127.35825357649
"Non-Smoker",98.0813920840294
"Non-Smoker",114.71512182649
"Non-Smoker",122.028916272363
"Non-Smoker",138.878209123861
"Non-Smoker",160.0006632102
"Non-Smoker",156.002595122413
"Non-Smoker",143.946651587574
