# Simulated data for batch processing on HW #11
# timestamp: 2020-04-30 12:14:32
# HVC
# -----------------

"var_x","var_y"
"Smoker",167.241819047763
"Smoker",135.099097211836
"Smoker",130.329412207502
"Smoker",116.303479984617
"Smoker",152.320287507432
"Smoker",115.932337998187
"Smoker",125.176631631486
"Smoker",129.163950703054
"Smoker",115.403081029969
"Smoker",165.426448139791
"Smoker",132.438691568675
"Smoker",126.504151169258
"Smoker",118.83212881736
"Non-Smoker",121.459882572874
"Non-Smoker",144.701107091444
"Non-Smoker",118.654481067732
"Non-Smoker",156.089263400695
"Non-Smoker",125.181688789792
"Non-Smoker",115.625736038204
"Non-Smoker",105.27584621446
"Non-Smoker",140.908084266163
"Non-Smoker",132.90210753396
"Non-Smoker",119.58376641436
"Non-Smoker",120.94795678325
"Non-Smoker",102.327655495766
