# Simulated data for batch processing on HW #11
# timestamp: 2020-04-30 12:14:32
# HVC
# -----------------

"var_x","var_y"
"Smoker",166.577312602728
"Smoker",166.43699609296
"Smoker",125.512953931708
"Smoker",122.180964738036
"Smoker",125.086723985387
"Smoker",133.199221656903
"Smoker",129.2413519917
"Smoker",98.9265896705981
"Smoker",160.83848513984
"Smoker",123.341688155836
"Smoker",113.366693197321
"Smoker",97.0052125836853
"Smoker",118.500378075701
"Non-Smoker",123.142794307339
"Non-Smoker",188.330102963829
"Non-Smoker",149.440528728335
"Non-Smoker",120.245636017589
"Non-Smoker",145.857876562508
"Non-Smoker",120.840845634247
"Non-Smoker",111.29916231226
"Non-Smoker",138.843648343815
"Non-Smoker",142.81083218908
"Non-Smoker",118.554462468055
"Non-Smoker",120.60034839437
"Non-Smoker",144.82882230486
