# Simulated data for batch processing on HW #11
# timestamp: 2020-04-30 12:14:32
# HVC
# -----------------

"var_x","var_y"
"Smoker",139.119741468094
"Smoker",124.13451278728
"Smoker",93.513771588362
"Smoker",94.5251107686444
"Smoker",125.830831525294
"Smoker",122.675619035906
"Smoker",149.37182451991
"Smoker",162.691860336708
"Smoker",148.02062809253
"Smoker",154.486610506882
"Smoker",147.948119299702
"Smoker",134.012580045676
"Smoker",154.572935529091
"Non-Smoker",121.929559510459
"Non-Smoker",93.4123382650907
"Non-Smoker",139.471566539189
"Non-Smoker",123.317376444523
"Non-Smoker",137.350245789411
"Non-Smoker",145.480536685766
"Non-Smoker",126.130736315301
"Non-Smoker",138.144306775826
"Non-Smoker",99.6068602981001
"Non-Smoker",136.290333145652
"Non-Smoker",127.249674110383
"Non-Smoker",130.994511554576
