# Simulated data for batch processing on HW #11
# timestamp: 2020-04-30 12:14:32
# HVC
# -----------------

"var_x","var_y"
"Smoker",128.511385013896
"Smoker",156.071209181565
"Smoker",140.303295518732
"Smoker",135.15562144343
"Smoker",144.772756975871
"Smoker",121.863535957501
"Smoker",104.296036484869
"Smoker",126.767907136847
"Smoker",163.796400531194
"Smoker",123.961200643465
"Smoker",112.469509780095
"Smoker",134.437112299677
"Smoker",123.585058051375
"Non-Smoker",171.106491275019
"Non-Smoker",139.764603123881
"Non-Smoker",114.020064704899
"Non-Smoker",140.248247118386
"Non-Smoker",149.050291781447
"Non-Smoker",113.459945786628
"Non-Smoker",144.881230938638
"Non-Smoker",157.321528191474
"Non-Smoker",142.077448768149
"Non-Smoker",132.739266268122
"Non-Smoker",122.419721487794
"Non-Smoker",125.861689034927
