# Simulated data for batch processing on HW #11
# timestamp: 2020-04-30 12:14:32
# HVC
# -----------------

"var_x","var_y"
"Smoker",117.87722747627
"Smoker",145.178158918907
"Smoker",140.612962926325
"Smoker",132.974012139421
"Smoker",114.269713270789
"Smoker",187.296738298097
"Smoker",137.720905816518
"Smoker",119.380105453365
"Smoker",123.349548719633
"Smoker",120.794555766921
"Smoker",109.984526487139
"Smoker",132.57353744359
"Smoker",129.718763066576
"Non-Smoker",147.109829573775
"Non-Smoker",105.873886826224
"Non-Smoker",124.18744513952
"Non-Smoker",136.225398653562
"Non-Smoker",118.013652064166
"Non-Smoker",159.7253244102
"Non-Smoker",147.935570740448
"Non-Smoker",135.07944332559
"Non-Smoker",131.8115735455
"Non-Smoker",110.196237915029
"Non-Smoker",159.413957394
"Non-Smoker",120.546940276198
