# Simulated data for batch processing on HW #11
# timestamp: 2020-04-30 12:16:05
# HVC
# -----------------

"var_x","var_y"
"Smoker",136.49393837807
"Smoker",123.517001219083
"Smoker",144.7224963516
"Smoker",169.067064418521
"Smoker",147.085141255733
"Smoker",109.859747972625
"Smoker",139.337154663462
"Smoker",159.27691397413
"Smoker",155.880273753165
"Smoker",121.087645050784
"Smoker",169.821379993847
"Smoker",156.296221147463
"Smoker",166.469819923705
"Non-Smoker",124.940642964353
"Non-Smoker",123.946507552896
"Non-Smoker",128.742825395783
"Non-Smoker",139.31236415844
"Non-Smoker",120.36424890725
"Non-Smoker",117.83794518683
"Non-Smoker",145.937786177814
"Non-Smoker",156.529246809336
"Non-Smoker",134.2300968782
"Non-Smoker",179.658833659991
"Non-Smoker",155.573334459305
"Non-Smoker",136.089321474164
