# Simulated data for batch processing on HW #11
# timestamp: 2020-04-30 12:16:05
# HVC
# -----------------

"var_x","var_y"
"Smoker",161.594466860527
"Smoker",110.418916661517
"Smoker",122.7932237099
"Smoker",89.3114447263806
"Smoker",95.4070045568252
"Smoker",148.703465962919
"Smoker",155.631179021266
"Smoker",157.900163052077
"Smoker",162.01849584045
"Smoker",131.196404810378
"Smoker",148.349548822742
"Smoker",117.384484657644
"Smoker",134.069003911065
"Non-Smoker",139.187982464089
"Non-Smoker",106.206681011925
"Non-Smoker",135.551374697761
"Non-Smoker",119.516285640377
"Non-Smoker",112.010572014881
"Non-Smoker",135.832430469164
"Non-Smoker",111.781933127252
"Non-Smoker",141.072064944802
"Non-Smoker",142.780688904025
"Non-Smoker",136.490272537122
"Non-Smoker",122.648852142788
"Non-Smoker",145.059020385258
