# Simulated data for batch processing on HW #11
# timestamp: 2020-04-30 12:16:05
# HVC
# -----------------

"var_x","var_y"
"Smoker",129.762330267618
"Smoker",116.532181581697
"Smoker",121.90012234189
"Smoker",115.008078727592
"Smoker",125.232964633215
"Smoker",120.576821354538
"Smoker",134.968640437708
"Smoker",123.669115883444
"Smoker",137.318266470244
"Smoker",131.274079529317
"Smoker",135.702806260954
"Smoker",125.123861310629
"Smoker",125.800448225654
"Non-Smoker",125.717331430481
"Non-Smoker",114.901444788699
"Non-Smoker",91.6855721415541
"Non-Smoker",113.529345860812
"Non-Smoker",130.070926187921
"Non-Smoker",117.833732665111
"Non-Smoker",205.657807332008
"Non-Smoker",179.807151551897
"Non-Smoker",133.213258875665
"Non-Smoker",134.078505316499
"Non-Smoker",126.196658260034
"Non-Smoker",122.754297782724
