# Simulated data for batch processing on HW #11
# timestamp: 2020-04-30 12:16:05
# HVC
# -----------------

"var_x","var_y"
"Smoker",120.686144006256
"Smoker",119.636066167625
"Smoker",117.383885706906
"Smoker",126.710562839737
"Smoker",154.752246465644
"Smoker",133.791217815599
"Smoker",139.364833639193
"Smoker",110.343784730084
"Smoker",125.253641830464
"Smoker",122.625540417315
"Smoker",167.45452542755
"Smoker",153.149583499121
"Smoker",145.171518965095
"Non-Smoker",111.736318048287
"Non-Smoker",137.552230327545
"Non-Smoker",139.128314673985
"Non-Smoker",100.245515414465
"Non-Smoker",110.485803912177
"Non-Smoker",121.910666419973
"Non-Smoker",134.706812845367
"Non-Smoker",127.466716863893
"Non-Smoker",106.472590449153
"Non-Smoker",183.980539249219
"Non-Smoker",148.47134763926
"Non-Smoker",118.753262546654
